name,ab,r,h,2b,3b,hr,sb,cs,bb,so,ba,obp,slg,ops,tb,hbp,sf,season
Rank in 15 NL teams,1,1,1,3,5,1,8,4,1,15,2,2,2,2,1,10,1,2024
Rank in 15 NL teams,3,2,3,2,11,2,11,4,2,8,3,2,2,2,2,3,1,2023
Rank in 15 NL teams,2,1,2,1,2,3,5,2,1,8,2,1,2,1,2,13,1,2022
Rank in 15 NL teams,3,1,5,11,6,3,9,3,1,8,5,2,4,2,3,2,2,2021
Rank in 15 NL teams,3,1,5,7,10,1,6,3,5,3,8,4,1,2,2,8,10,2020
Rank in 15 NL teams,11,1,7,4,12,1,11,1,3,3,5,2,1,1,1,4,1,2019
Rank in 15 NL teams,3,1,7,2,6,1,9,1,1,10,8,2,1,1,1,8,10,2018
Rank in 15 NL teams,14,6,13,2,15,4,8,3,1,9,11,3,4,5,8,7,7,2017
Rank in 15 NL teams,7,7,11,9,13,8,13,2,7,8,11,11,7,9,7,7,14,2016
Rank in 15 NL teams,15,8,13,11,12,1,13,7,2,5,10,1,3,2,5,5,14,2015
Rank in 15 NL teams,3,2,2,2,4,6,1,14,2,6,2,1,2,2,2,4,5,2014
Rank in 15 NL teams,9,7,4,5,15,10,7,3,6,4,3,3,6,4,5,6,1,2013
Rank in 16 NL teams,10,13,9,11,15,15,8,11,8,3,8,9,15,13,15,6,9,2012
Rank in 16 NL teams,13,9,9,16,10,12,4,8,10,5,6,7,12,10,13,13,6,2011
Rank in 16 NL teams,14,11,10,11,10,15,8,15,8,8,10,8,13,12,13,12,2,2010
Rank in 16 NL teams,1,4,1,12,5,11,3,15,4,5,1,1,7,4,6,3,8,2009
Rank in 16 NL teams,11,13,6,13,7,13,4,12,10,4,5,6,13,11,13,13,13,2008
Rank in 16 NL teams,6,10,4,15,7,15,3,16,12,1,2,5,13,9,12,14,3,2007
Rank in 16 NL teams,3,4,1,7,1,15,2,12,3,4,1,1,6,3,4,14,5,2006
Rank in 16 NL teams,15,12,15,11,14,11,15,8,5,12,15,10,14,14,15,5,16,2005
Rank in 16 NL teams,9,9,9,16,10,4,5,14,10,10,10,8,8,9,8,5,13,2004
Rank in 16 NL teams,13,16,15,14,11,15,6,8,16,5,16,16,16,16,15,5,16,2003
Rank in 16 NL teams,1,7,5,6,8,11,6,4,16,2,5,14,9,12,8,11,7,2002
Rank in 16 NL teams,9,8,11,14,11,6,8,6,9,4,11,12,8,8,9,12,11,2001
Rank in 16 NL teams,15,8,14,15,11,4,9,6,5,9,12,8,7,8,9,10,10,2000
Rank in 16 NL teams,10,11,9,16,11,8,2,15,9,6,9,10,11,11,11,7,5,1999
Rank in 16 NL teams,15,12,14,16,12,8,3,14,14,5,13,15,14,14,14,16,9,1998
Rank in 14 NL teams,3,7,4,14,10,2,7,10,11,6,4,8,4,5,4,14,12,1997
Rank in 14 NL teams,6,12,13,14,5,6,6,2,10,14,13,14,14,14,14,14,14,1996
Rank in 14 NL teams,8,10,7,14,6,7,5,5,8,13,7,8,7,9,8,13,8,1995
Rank in 14 NL teams,9,7,6,13,5,7,8,7,8,4,6,6,6,7,7,14,7,1994
Rank in 14 NL teams,3,12,8,12,12,10,5,11,9,7,10,11,13,11,11,12,10,1993
Rank in 12 NL teams,11,12,10,12,10,12,3,11,6,5,9,6,12,11,12,11,9,1992
Rank in 12 NL teams,9,5,5,12,9,9,5,7,2,6,5,3,8,6,9,8,7,1991
Rank in 12 NL teams,8,3,4,10,9,6,6,8,5,8,3,2,7,5,8,4,5,1990
Rank in 12 NL teams,9,12,11,6,12,11,12,3,7,3,10,10,12,12,12,5,10,1989
Rank in 12 NL teams,7,6,6,10,10,8,6,1,10,8,5,11,8,9,9,5,5,1988
Rank in 12 NL teams,7,12,11,11,12,8,9,7,12,4,12,12,12,12,11,4,6,1987
Rank in 12 NL teams,8,9,9,11,12,7,5,5,12,7,9,11,11,11,11,4,10,1986
Rank in 12 NL teams,5,5,3,10,8,4,5,8,6,3,2,2,5,3,4,2,1,1985
Rank in 12 NL teams,12,12,12,11,12,8,10,9,9,3,11,12,12,12,12,11,6,1984
Rank in 12 NL teams,9,8,8,11,8,1,3,6,6,9,7,9,6,8,7,7,10,1983
Rank in 12 NL teams,1,4,2,9,8,2,5,1,4,1,2,2,3,3,3,2,2,1982
Rank in 12 NL teams,3,4,2,12,12,1,10,8,8,9,4,4,4,4,2,4,10,1981
Rank in 12 NL teams,4,6,4,10,11,1,8,7,7,8,4,7,3,5,3,4,9,1980
Rank in 12 NL teams,5,2,7,9,12,1,8,1,4,7,7,3,2,2,3,8,12,1979
Rank in 12 NL teams,5,1,2,4,12,1,5,3,2,5,1,1,1,1,1,11,6,1978
Rank in 12 NL teams,5,3,6,11,11,1,7,6,3,10,5,3,3,3,4,9,5,1977
Rank in 12 NL teams,6,9,7,9,8,7,3,4,10,3,6,8,7,8,6,3,5,1976
Rank in 12 NL teams,9,8,9,8,9,4,2,8,3,8,9,6,6,7,8,6,3,1975
Rank in 12 NL teams,4,1,2,4,9,1,2,12,4,5,2,2,1,1,2,9,1,1974
Rank in 12 NL teams,3,6,2,4,7,10,3,8,8,2,2,6,6,6,5,8,1,1973
Rank in 12 NL teams,4,7,5,9,5,9,5,3,7,2,6,6,7,7,7,10,5,1972
Rank in 12 NL teams,5,4,3,5,4,9,5,6,7,2,3,4,6,6,6,12,2,1971
Rank in 12 NL teams,3,4,2,5,2,12,1,11,8,2,1,3,8,7,9,11,2,1970
Rank in 12 NL teams,4,7,4,10,1,11,3,9,9,2,4,8,7,9,7,12,8,1969
Rank in 10 NL teams,9,10,9,5,4,9,7,3,4,7,9,9,8,9,9,10,2,1968
Rank in 10 NL teams,7,9,10,6,8,10,8,6,6,1,10,8,9,9,9,2,7,1967
Rank in 10 NL teams,9,8,7,7,10,8,2,10,6,1,5,5,9,8,9,1,7,1966
Rank in 10 NL teams,10,8,7,8,8,10,1,10,5,4,7,6,9,8,9,1,7,1965
Rank in 10 NL teams,8,8,7,9,6,9,1,10,6,3,6,8,9,8,9,9,2,1964
Rank in 10 NL teams,6,6,5,8,10,7,1,10,7,1,4,5,8,7,8,9,1,1963
Rank in 10 NL teams,3,2,4,8,1,5,1,7,3,5,4,2,4,3,3,8,3,1962
Rank in 8 NL teams,8,2,7,7,5,5,1,7,1,5,5,1,6,3,6,8,6,1961
Rank in 8 NL teams,6,4,4,4,8,5,1,8,2,4,3,2,6,5,6,5,2,1960
Rank in 8 NL teams,6,3,6,7,2,5,1,7,1,7,6,2,6,5,6,4,7,1959
Rank in 8 NL teams,8,5,8,8,3,2,1,8,5,6,8,7,5,7,6,6,2,1958
