name,age,g,pa,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ba,obp,slg,ops,ops_plus,tb,gdp,hbp,sh,sf,ibb,season
Team Totals,30.7,13,506,444,73,124,23,2,17,71,6,1,52,128,.279,.356,.455,.811,119,202,8,4,0,6,0,2024
Team Totals,31.0,162,6333,5524,906,1422,303,20,249,877,105,25,644,1359,.257,.340,.455,.795,113,2512,98,85,5,69,29,2023
Team Totals,29.7,162,6247,5526,847,1418,325,31,212,812,98,18,607,1374,.257,.333,.442,.775,115,2441,85,56,3,53,22,2022
Team Totals,29.3,162,6239,5445,830,1330,247,24,237,799,65,17,613,1408,.244,.330,.429,.759,101,2336,96,104,32,45,36,2021
Team Totals,28.0,60,2316,2042,349,523,97,6,118,327,29,8,228,471,.256,.338,.483,.821,119,986,46,30,3,12,7,2020
Team Totals,27.9,162,6282,5493,886,1414,302,20,279,861,57,10,607,1356,.257,.338,.472,.810,111,2593,100,81,55,45,47,2019
Team Totals,28.1,163,6358,5572,804,1394,296,33,235,756,75,24,647,1436,.250,.333,.442,.774,109,2461,119,61,39,39,47,2018
Team Totals,27.9,162,6191,5408,770,1347,312,20,221,730,77,28,649,1380,.249,.334,.437,.771,104,2362,119,64,31,38,41,2017
Team Totals,28.9,162,6164,5518,725,1376,272,21,189,680,45,26,525,1321,.249,.319,.409,.728,95,2257,120,58,30,32,31,2016
Team Totals,29.7,162,6090,5385,667,1346,263,26,187,638,59,34,563,1258,.250,.326,.413,.739,106,2222,135,60,49,30,31,2015
Team Totals,29.4,162,6231,5560,718,1476,302,38,134,686,138,50,519,1246,.265,.333,.406,.738,110,2256,119,61,47,43,30,2014
Team Totals,30.8,162,6145,5491,649,1447,281,17,138,618,78,28,476,1146,.264,.326,.396,.722,103,2176,130,57,71,48,45,2013
Team Totals,30.6,162,6091,5438,637,1369,269,23,116,607,104,44,481,1156,.252,.317,.374,.690,91,2032,139,52,82,38,49,2012
Team Totals,30.0,161,6094,5436,644,1395,237,28,117,613,126,40,498,1087,.257,.322,.375,.697,95,2039,101,45,71,43,61,2011
Team Totals,30.3,162,6140,5426,667,1368,270,29,120,621,92,50,533,1184,.252,.322,.379,.700,92,2056,123,46,85,50,57,2010
Team Totals,29.8,162,6385,5592,780,1511,278,39,145,739,116,48,607,1068,.270,.346,.412,.758,104,2302,141,63,78,44,76,2009
Team Totals,28.4,162,6194,5506,700,1455,271,29,137,659,126,43,543,1032,.264,.333,.399,.732,93,2195,153,43,64,38,62,2008
Team Totals,29.7,162,6282,5614,735,1544,276,35,129,706,137,50,511,864,.275,.337,.406,.743,91,2277,116,41,58,55,41,2007
Team Totals,30.0,162,6394,5628,820,1552,307,58,153,787,128,49,601,959,.276,.348,.432,.781,99,2434,140,51,66,48,61,2006
Team Totals,28.8,162,6134,5433,685,1374,284,21,149,653,58,35,541,1094,.253,.326,.395,.721,90,2147,139,67,57,33,30,2005
Team Totals,28.8,162,6244,5542,761,1450,226,30,203,731,102,41,536,1092,.262,.332,.423,.755,98,2345,121,62,69,35,45,2004
Team Totals,29.9,162,6036,5458,574,1328,260,25,124,544,80,36,407,985,.243,.303,.368,.671,79,2010,121,72,71,28,43,2003
Team Totals,29.9,162,6146,5554,713,1464,286,29,155,693,96,37,428,940,.264,.320,.409,.729,98,2273,140,53,67,44,50,2002
Team Totals,30.1,162,6169,5493,758,1399,264,27,206,714,89,42,519,1062,.255,.323,.425,.748,99,2335,115,56,57,44,45,2001
Team Totals,29.6,162,6312,5481,798,1408,265,28,211,756,95,42,668,1083,.257,.341,.431,.771,99,2362,129,51,66,46,42,2000
Team Totals,29.2,162,6338,5567,793,1480,253,23,187,761,167,68,594,1030,.266,.339,.420,.760,96,2340,109,52,74,51,34,1999
Team Totals,28.3,162,6077,5459,669,1374,209,27,159,630,137,53,447,1056,.252,.310,.387,.698,87,2114,98,36,91,43,31,1998
Team Totals,29.4,162,6216,5544,742,1488,242,33,174,706,131,64,498,1079,.268,.330,.418,.748,101,2318,109,33,105,36,46,1997
Team Totals,28.0,162,6185,5538,703,1396,215,33,150,661,124,40,516,1190,.252,.316,.384,.701,90,2127,112,22,74,35,59,1996
Team Totals,27.4,144,5544,4942,634,1303,191,31,140,593,127,45,468,1023,.264,.329,.400,.729,99,1976,99,30,68,35,46,1995
Team Totals,28.7,114,4371,3904,532,1055,160,29,115,505,74,37,366,687,.270,.333,.414,.748,99,1618,89,19,51,31,33,1994
Team Totals,29.1,162,6261,5588,675,1458,234,28,130,639,126,61,492,937,.261,.321,.383,.704,93,2138,105,27,107,47,48,1993
Team Totals,28.3,162,6038,5368,548,1333,201,34,72,499,142,78,503,899,.248,.313,.339,.652,86,1818,111,24,102,40,36,1992
Team Totals,30.4,162,6159,5408,665,1366,191,29,108,605,126,68,583,957,.253,.326,.359,.685,95,1939,109,28,94,46,50,1991
Team Totals,29.9,162,6179,5491,728,1436,222,27,129,669,141,65,538,952,.262,.328,.382,.711,98,2099,110,31,71,48,78,1990
Team Totals,30.0,160,6124,5465,554,1313,241,17,89,513,81,54,507,885,.240,.306,.339,.645,86,1855,98,27,83,41,77,1989
Team Totals,29.1,162,6045,5431,628,1346,217,25,99,587,131,46,437,947,.248,.305,.352,.657,90,1910,118,32,95,50,65,1988
Team Totals,28.3,162,6114,5517,635,1389,236,23,125,594,128,59,445,923,.252,.309,.371,.680,81,2046,126,31,82,39,70,1987
Team Totals,28.1,162,6101,5471,638,1373,232,14,130,599,155,67,478,966,.251,.313,.370,.683,94,2023,109,32,81,39,58,1986
Team Totals,27.7,162,6224,5502,682,1434,226,28,129,632,136,58,539,846,.261,.328,.382,.710,102,2103,108,31,104,46,69,1985
Team Totals,26.8,162,6042,5399,580,1316,213,23,102,530,109,69,488,829,.244,.306,.348,.654,86,1881,120,14,92,48,56,1984
Team Totals,28.3,163,6130,5440,654,1358,197,34,146,613,166,76,541,925,.250,.318,.379,.697,94,2061,112,22,86,40,61,1983
Team Totals,29.3,162,6361,5642,691,1487,222,32,138,661,151,56,528,804,.264,.327,.388,.715,102,2187,98,30,106,55,83,1982
Team Totals,29.4,110,4189,3751,450,984,133,20,82,427,73,46,331,550,.262,.323,.374,.697,101,1403,83,17,62,27,38,1981
Team Totals,30.7,163,6221,5568,663,1462,209,24,148,638,123,72,492,846,.263,.323,.388,.711,99,2163,108,24,96,41,52,1980
Team Totals,30.6,162,6188,5490,739,1443,220,24,183,713,106,46,556,834,.263,.331,.412,.743,103,2260,145,23,83,36,62,1979
Team Totals,30.6,162,6225,5437,727,1435,251,27,149,686,137,52,610,818,.264,.338,.402,.740,108,2187,101,20,111,47,76,1978
Team Totals,29.4,162,6328,5589,769,1484,223,28,191,729,114,62,588,896,.266,.336,.418,.753,102,2336,103,23,83,44,67,1977
Team Totals,27.9,162,6125,5472,608,1371,200,34,91,561,144,55,486,744,.251,.313,.349,.662,90,1912,129,29,91,47,71,1976
Team Totals,27.5,162,6246,5453,648,1355,217,31,118,606,138,52,611,825,.248,.325,.365,.690,96,1988,123,31,104,47,72,1975
Team Totals,27.1,162,6332,5557,798,1511,231,34,139,744,149,75,597,820,.272,.342,.401,.743,112,2227,117,28,86,64,95,1974
Team Totals,27.0,162,6267,5604,675,1473,219,29,110,623,109,50,497,795,.263,.323,.371,.694,96,2080,123,28,81,57,92,1973
Team Totals,28.5,155,5904,5270,584,1349,178,39,98,543,82,39,480,786,.256,.319,.360,.679,95,1899,121,24,89,40,53,1972
Team Totals,28.8,162,6156,5523,663,1469,213,38,95,631,76,40,489,755,.266,.325,.370,.695,102,2043,140,21,72,50,62,1971
Team Totals,28.1,161,6293,5606,749,1515,233,67,87,695,138,57,541,841,.270,.334,.382,.717,96,2143,113,24,72,50,67,1970
Team Totals,27.5,162,6167,5532,645,1405,185,52,97,584,80,51,484,823,.254,.315,.359,.673,95,1985,110,21,96,33,63,1969
Team Totals,28.0,162,5935,5354,470,1234,202,36,67,434,57,43,439,980,.230,.289,.319,.608,90,1709,89,18,79,45,61,1968
Team Totals,27.6,162,6110,5456,519,1285,203,38,82,465,56,47,485,881,.236,.301,.332,.633,89,1810,133,43,91,35,75,1967
Team Totals,28.5,162,6067,5471,606,1399,201,27,108,565,94,64,430,830,.256,.314,.362,.675,95,1978,117,49,84,32,54,1966
Team Totals,28.1,162,6108,5425,608,1329,193,32,78,548,172,77,492,891,.245,.312,.335,.647,89,1820,79,52,103,35,57,1965
Team Totals,27.0,164,6121,5499,614,1375,180,39,79,555,141,60,438,893,.250,.305,.340,.645,88,1870,105,19,120,44,55,1964
Team Totals,27.5,163,6045,5428,640,1361,178,34,110,584,124,70,453,867,.251,.309,.357,.666,99,1937,121,26,85,53,47,1963
Team Totals,27.1,165,6363,5628,842,1510,192,65,140,781,198,43,572,886,.268,.337,.400,.737,103,2252,126,32,83,47,65,1962
Team Totals,28.0,154,5940,5189,735,1358,193,40,157,673,86,45,596,796,.262,.338,.405,.743,91,2102,117,23,96,36,53,1961
Team Totals,27.8,154,5936,5227,662,1333,216,38,126,606,95,53,529,837,.255,.324,.383,.707,89,2003,108,27,102,50,46,1960
Team Totals,28.4,156,6034,5282,705,1360,196,46,148,667,84,51,591,891,.257,.334,.396,.730,89,2092,115,28,100,32,61,1959
Team Totals,29.1,154,5804,5173,668,1297,166,50,172,627,73,47,495,850,.251,.317,.402,.719,86,2079,132,25,68,43,22,1958
